No_GE,Commune,Total démissions_2015,Nombre de conseillers municipaux_2015,Taux_2015,No,Total démissions_2017,Nombre de conseillers municipaux_2017,Taux_2017
1,Aire-la-Ville,2,13,0.15384615384615385,6601,1,13,0.07692307692307693
2,Anières,8,17,0.47058823529411764,6602,2,17,0.1176470588235294
3,Avully,7,15,0.4666666666666667,6603,2,15,0.13333333333333333
4,Avusy,5,13,0.38461538461538464,6604,0,13,0.0
5,Bardonnex,8,17,0.47058823529411764,6605,2,17,0.1176470588235294
6,Bellevue,6,19,0.3157894736842105,6606,1,19,0.05263157894736842
7,Bernex,11,23,0.4782608695652174,6607,1,23,0.043478260869565216
8,Carouge,16,31,0.5161290322580645,6608,7,31,0.2258064516129032
9,Cartigny,0,13,0.0,6609,0,13,0.0
10,Céligny,2,11,0.18181818181818182,6610,0,11,0.0
11,Chancy,8,13,0.6153846153846154,6611,1,13,0.07692307692307693
12,Chêne-Bougeries,5,25,0.2,6612,2,25,0.08
13,Chêne-Bourg,13,23,0.5652173913043478,6613,6,23,0.2608695652173913
14,Choulex,3,13,0.23076923076923078,6614,0,13,0.0
15,Collex-Bossy,3,15,0.2,6615,1,15,0.06666666666666668
16,Collonge-Bellerive,13,21,0.6190476190476191,6616,1,21,0.047619047619047616
17,Cologny,4,19,0.21052631578947367,6617,0,19,0.0
18,Confignon,11,19,0.5789473684210527,6618,1,19,0.05263157894736842
19,Corsier,9,15,0.6,6619,0,15,0.0
20,Dardagny,2,13,0.15384615384615385,6620,0,13,0.0
21,Ville de Genève,44,80,0.55,6621,6,80,0.075
25,Genthod,4,17,0.23529411764705882,6622,2,17,0.1176470588235294
26,Grand-Saconnex,7,25,0.28,6623,2,25,0.08
27,Gy,1,9,0.1111111111111111,6624,0,9,0.0
28,Hermance,4,13,0.3076923076923077,6625,0,13,0.0
29,Jussy,4,13,0.3076923076923077,6626,1,13,0.07692307692307693
30,Laconnex,1,11,0.09090909090909091,6627,0,11,0.0
31,Lancy,17,35,0.4857142857142857,6628,6,35,0.17142857142857146
32,Meinier,0,15,0.0,6629,0,15,0.0
33,Meyrin,13,33,0.3939393939393939,6630,3,33,0.09090909090909093
34,Onex,21,29,0.7241379310344828,6631,6,29,0.20689655172413796
35,Perly-Certoux,7,17,0.4117647058823529,6632,1,17,0.05882352941176471
36,Plan-les-Ouates,13,25,0.52,6633,2,25,0.08
37,Pregny-Chambésy,11,19,0.5789473684210527,6634,0,19,0.0
38,Presinge,2,11,0.18181818181818182,6635,0,11,0.0
39,Puplinge,7,17,0.4117647058823529,6636,0,17,0.0
40,Russin,4,9,0.4444444444444444,6637,0,9,0.0
41,Satigny,4,19,0.21052631578947367,6638,1,19,0.05263157894736842
42,Soral,1,11,0.09090909090909091,6639,0,11,0.0
43,Thônex,16,27,0.5925925925925926,6640,5,27,0.1851851851851852
44,Troinex,7,17,0.4117647058823529,6641,1,17,0.05882352941176471
45,Vandoeuvres,5,17,0.29411764705882354,6642,2,17,0.1176470588235294
46,Vernier,23,37,0.6216216216216216,6643,6,37,0.16216216216216214
47,Versoix,11,27,0.4074074074074074,6644,1,27,0.037037037037037035
48,Veyrier,9,25,0.36,6645,1,25,0.04
